# concept_key	english	german
concept:revenue	revenue	umsatz
concept:quarter	quarter	quartal
concept:city	city	stadt
concept:inventory	inventory	bestand
concept:warehouse	warehouse	lager
concept:berlin	berlin	berlin
concept:munich	munich	muenchen
concept:planning	planning	planung
concept:forecast	forecast	prognose
concept:customer	customer	kunde
concept:market	market	markt
concept:price	price	preis
concept:cost	cost	kosten
concept:profit	profit	gewinn
concept:report	report	bericht
concept:invoice	invoice	rechnung
concept:payment	payment	zahlung
concept:transaction	transaction	transaktion
concept:budget	budget	budget
concept:billing	billing	abrechnung
concept:subscription	subscription	abonnement
concept:risk	risk	risiko
concept:policy	policy	richtlinie
concept:compliance	compliance	rechtskonformitaet
concept:privacy	privacy	datenschutz
concept:audit	audit	audit
concept:backup	backup	sicherung
concept:restore	restore	wiederherstellung
concept:cache	cache	cache
concept:index	index	index
concept:search	search	suche
concept:filter	filter	filter
concept:sort	sort	sortieren
concept:dashboard	dashboard	dashboard
concept:workflow	workflow	arbeitsablauf
concept:automation	automation	automatisierung
concept:approval	approval	genehmigung
concept:config	config	konfiguration
concept:setting	setting	einstellung
concept:feature	feature	funktion
concept:branch	branch	zweig
concept:edge	edge	kante
concept:node	node	knoten
concept:memory	memory	speicher
concept:knowledge	knowledge	wissen
concept:domain	domain	bereich
concept:language	language	sprache
concept:translation	translation	uebersetzung
concept:canonicalization	canonicalization	kanonisierung
concept:query	query	abfrage
concept:result	result	ergebnis
concept:answer	answer	antwort
concept:authentication	authentication	authentifizierung
concept:authorization	authorization	autorisierung
concept:session	session	sitzung
concept:tenant	tenant	mandant
concept:provider	provider	anbieter
concept:model	model	modell
concept:embedding	embedding	einbettung
concept:vector	vector	vektor
concept:retrieval	retrieval	abruf
concept:ranking	ranking	rangfolge
concept:rerank	rerank	neusortierung
concept:reasoning	reasoning	schlussfolgern
concept:timeline	timeline	zeitleiste
concept:contradiction	contradiction	widerspruch
concept:provenance	provenance	herkunft
concept:compare	compare	vergleichen
concept:predict	predict	vorhersage
concept:investigate	investigate	untersuchen
concept:consolidate	consolidate	konsolidieren
concept:upload	upload	hochladen
concept:download	download	herunterladen
concept:file	file	datei
concept:document	document	dokument
concept:graph	graph	graph
concept:semantic	semantic	semantik
concept:lexicon	lexicon	lexikon
concept:concept	concept	konzept
concept:deterministic	deterministic	deterministisch
concept:adaptive	adaptive	adaptiv
concept:analysis	analysis	analyse
concept:summary	summary	zusammenfassung
concept:source	source	quelle
concept:citation	citation	beleg
concept:entity	entity	entitaet
concept:relation	relation	relation
concept:topic	topic	thema
concept:term	term	begriff
concept:alias	alias	alias
concept:multilingual	multilingual	mehrsprachig
concept:crosslingual	crosslingual	sprachuebergreifend
concept:pipeline	pipeline	pipeline
concept:operator	operator	betreiber
concept:server	server	server
concept:database	database	datenbank
concept:storage	storage	speicher
concept:ingest	ingest	erfassung
concept:extract	extract	extraktion
concept:label	label	etikett
concept:signal	signal	signal
concept:score	score	punktzahl
concept:confidence	confidence	konfidenz
concept:temporal	temporal	zeitlich
concept:dependency	dependency	abhaengigkeit
concept:causal	causal	kausal
concept:api	api	anwendungsprogrammierschnittstelle
concept:endpoint	endpoint	endpunkt
concept:request	request	anfrage
concept:response	response	antwort
concept:router	router	router
concept:middleware	middleware	zwischenschicht
concept:job	job	auftrag
concept:worker	worker	arbeiter
concept:queue	queue	warteschlange
concept:event	event	ereignis
concept:websocket	websocket	websocket
concept:thread	thread	faden
concept:token	token	token
concept:prompt	prompt	aufforderung
concept:client	client	klient
concept:ui	ui	benutzeroberflaeche
concept:layout	layout	layout
concept:animation	animation	animation
concept:permission	permission	berechtigung
concept:encrypt	encrypt	verschluesseln
concept:decryption	decryption	entschluesselung
concept:secret	secret	geheimnis
concept:key	key	schluessel
concept:role	role	rolle
concept:scope	scope	bereich
concept:admin	admin	verwalter
concept:user	user	benutzer
concept:developer	developer	entwickler
