# concept_key	en	de	es	fr	it	pt	nl
concept:revenue	revenue	umsatz	ingresos	revenus	ricavi	receita	omzet
concept:quarter	quarter	quartal	trimestre	trimestre	trimestre	trimestre	kwartaal
concept:city	city	stadt	ciudad	ville	citta	cidade	stad
concept:inventory	inventory	bestand	inventario	inventaire	inventario	inventario	voorraad
concept:warehouse	warehouse	lager	almacen	entrepot	magazzino	armazem	magazijn
concept:planning	planning	planung	planificacion	planification	pianificazione	planejamento	planning
concept:forecast	forecast	prognose	pronostico	prevision	previsione	previsao	voorspelling
concept:customer	customer	kunde	cliente	client	cliente	cliente	klant
concept:market	market	markt	mercado	marche	mercato	mercado	markt
concept:price	price	preis	precio	prix	prezzo	preco	prijs
concept:cost	cost	kosten	costo	cout	costo	custo	kosten
concept:profit	profit	gewinn	beneficio	profitto	profitto	lucro	winst
concept:report	report	bericht	informe	rapport	rapporto	relatorio	rapport
concept:invoice	invoice	rechnung	factura	facture	fattura	fatura	factuur
concept:payment	payment	zahlung	pago	paiement	pagamento	pagamento	betaling
concept:transaction	transaction	transaktion	transaccion	transaction	transazione	transacao	transactie
concept:budget	budget	budget	presupuesto	budget	bilancio	orcamento	budget
concept:billing	billing	abrechnung	facturacion	facturation	fatturazione	faturamento	facturatie
concept:subscription	subscription	abonnement	suscripcion	abonnement	abbonamento	assinatura	abonnement
concept:risk	risk	risiko	riesgo	risque	rischio	risco	risico
concept:policy	policy	richtlinie	politica	politique	politica	politica	beleid
concept:compliance	compliance	rechtskonformitaet	cumplimiento	conformite	conformita	conformidade	naleving
concept:privacy	privacy	datenschutz	privacidad	confidentialite	riservatezza	privacidade	privacy
concept:audit	audit	audit	auditoria	audit	audit	auditoria	audit
concept:backup	backup	sicherung	copia de seguridad	sauvegarde	backup	backup	back-up
concept:restore	restore	wiederherstellung	restaurar	restauration	ripristino	restauracao	herstel
concept:cache	cache	cache	cache	cache	cache	cache	cache
concept:index	index	index	indice	index	indice	indice	index
concept:search	search	suche	busqueda	recherche	ricerca	pesquisa	zoeken
concept:filter	filter	filter	filtro	filtre	filtro	filtro	filter
concept:sort	sort	sortieren	ordenar	trier	ordinare	ordenar	sorteren
concept:dashboard	dashboard	dashboard	panel de control	tableau de bord	cruscotto	painel	dashboard
concept:workflow	workflow	arbeitsablauf	flujo de trabajo	flux de travail	flusso di lavoro	fluxo de trabalho	werkstroom
concept:automation	automation	automatisierung	automatizacion	automatisation	automazione	automacao	automatisering
concept:approval	approval	genehmigung	aprobacion	approbation	approvazione	aprovacao	goedkeuring
concept:config	config	konfiguration	configuracion	configuration	configurazione	configuracao	configuratie
concept:setting	setting	einstellung	ajuste	parametre	impostazione	configuracao	instelling
